,TIL_14,TIL_1,TIL_10,TIL_11,TIL_12,TIL_13,TIL_15,TIL_16,TIL_17,TIL_18,TIL_19,TIL_2,TIL_20,TIL_21,TIL_22,TIL_23,TIL_24,TIL_26,TIL_27,TIL_28,TIL_29,TIL_3,TIL_30,TIL_31,TIL_32,TIL_34,TIL_35,TIL_36,TIL_37,TIL_38,TIL_39,TIL_4,TIL_40,TIL_41,TIL_42,TIL_43,TIL_44,TIL_5,TIL_6,TIL_7,TIL_8,TIL_9,Gene_Names
1120,-1.089384968,-0.446517194,-0.281989155,-1.262790328,-0.732193841,-0.516751056,-1.294949932,-1.087654077,0.217073225,-1.181054117,-0.434655855,-0.591849962,-0.506365712,-2.356968183,-0.187134473,-1.392816657,-1.093619445,-1.611827052,-1.067541314,0.181804157,-0.789780857,-1.445255841,-0.7736769,-1.616417849,-0.168547082,-1.37765368,0.362146426,-0.276809828,-1.915926008,-0.947629419,1.300682904,-0.888069161,-0.26076339,0.610356427,-1.418260885,-1.305526115,-0.232687461,-0.379782481,0.113043621,-0.21093322,-0.607772956,-1.828397918,EML3
1121,-0.714879333,-0.760722447,0.291818001,-0.77685908,0.04547886,-0.544587869,-0.671250159,0.382094567,-0.265660381,-1.491008329,-1.634233568,0.0531218,-1.155035087,-1.527116221,-0.359017702,-0.285530657,-1.31072517,0.57216848,-0.775946643,1.191834386,-0.462196193,0.96191569,-0.639743579,-2.050273993,1.637817775,-1.095079104,0.489302474,-1.225795074,0.12883355,-1.602441809,1.076850262,0.005545226,1.136900222,0.620939423,-2.208832955,-0.584852612,0.247306805,-0.576016362,0.444029205,-1.084505773,0.326287266,-0.709022138,EML4
1122,-0.595843814,1.4010973,1.100632962,0.639818823,0.097172447,0.116100051,0.749659964,0.071701413,5.46966541,1.152016131,1.078956168,0.70271076,-0.078231987,1.041199695,0.398572843,1.714701071,0.757978056,1.523820906,0.153653926,-0.468429659,-0.452173026,-0.319065588,0.265052514,1.476816693,1.147394826,-0.247830297,0.061052151,0.196436903,-1.233342863,0.272251184,-0.202898234,0.291764786,0.057481026,-0.569868847,0.136220168,-0.412603421,0.563436111,0.918102947,-0.673796923,0.761341454,-0.064983561,0.148677432,ENAH
1123,0.967304004,-0.49180877,-0.478255479,0.038762139,-0.431025314,-0.272951922,-0.314513447,-1.292856587,1.677498795,-0.477791094,-0.05038814,-1.671042878,0.340608892,-0.339990609,-0.374868715,-1.224248651,-0.275369401,-0.1401576,-0.208045099,0.394415866,0.481948363,0.038123173,-0.710520135,-0.315207464,5.209338695,-0.70456111,-0.133422272,-0.15219553,-0.535216546,-0.351385022,-0.03407298,0.177116278,-1.231875505,-0.225560211,-0.608346126,-0.598652235,-1.46911455,0.262780761,-1.198509618,-0.256359295,-0.464536336,0.494846395,ENDOD1
1124,-0.250474489,-0.500032985,-0.468720887,-0.276489021,-0.726661659,0.228251443,0.219929367,1.510149073,-0.000466572,-0.019405368,-0.690651917,0.479939759,0.872208681,-0.023601488,0.009480841,0.922511678,-2.322022777,-0.000466572,1.032497392,0.695962924,-0.374004076,-0.55211187,-0.477788193,0.863598062,0.532163953,-1.210592781,1.564899574,-0.414379328,-0.355043277,0.699472145,0.462339678,3.553354764,0.315843943,1.553254065,-1.103375211,-0.967791172,0.397752769,0.188266451,-0.182679356,-0.795781183,0.110441856,-1.082450659,ENG
1125,0.988095204,1.276805538,1.747138774,0.264283656,0.453116528,0.957548866,0.815790032,1.179986958,0.715432673,1.031728531,-0.638906199,0.425841495,0.249012257,0.382300218,0.362249316,0.642744532,1.422778655,0.668814458,1.612420502,0.590355191,0.862783703,-0.117680101,1.109570711,-0.220087159,0.567677863,0.33789509,-0.502297368,0.766117714,0.475748716,-0.718461919,0.333680276,0.38697351,1.562033914,-1.355217467,0.290206267,1.773642006,0.649508277,0.513855697,-0.243673124,3.845643506,0.35488357,0.035161339,ENO1
1126,0.450483968,1.494392824,1.216905373,2.069882908,0.378167952,1.117627215,0.129237335,0.299466633,-0.726111217,1.447785246,-1.927391882,0.816691172,0.635191603,1.271332262,1.87367145,-0.823028635,0.88705563,0.0254563,0.909831592,1.143551454,1.328440325,1.202985691,0.819689976,-0.081553354,-0.263352533,2.170366194,-0.624080885,-0.253540362,0.754510366,0.535871405,-0.810386948,-0.307455867,0.964501375,0.154393657,0.253257961,2.078206691,-1.323959673,0.504045782,-0.279060183,2.071312245,-0.791060077,-0.8151486,ENO2
1127,0.34989687,1.580530443,0.483683665,2.175408457,0.659406399,1.913808581,0.142697984,0.805146936,-0.401921081,0.556704381,1.16873552,0.973500896,0.1022055,0.746297748,0.580611864,0.709514901,1.374932825,0.250385813,1.063811507,0.107826768,0.462705175,0.043937061,2.01465052,1.280550661,-0.503357446,0.958677079,0.491262855,1.20470616,0.391814923,1.445011923,0.569655495,-0.352596695,0.926630699,0.366070507,1.74635941,0.776432496,1.359698695,0.738297726,1.684107792,1.210355834,-0.27079363,0.29644696,ENOPH1
1128,0.988334418,1.86483489,0.508205708,1.423122284,0.603454147,0.321478382,0.396201308,0.526691845,0.105539706,0.654477552,1.719215054,1.10408014,-0.291038951,0.858958346,0.094467651,0.18414511,1.307642743,0.625707149,1.354170646,-0.096716728,1.351912141,0.237307374,0.895297431,1.032999054,0.02393506,0.427196608,-0.052789467,0.363427434,0.697234558,0.543027024,0.022945619,0.011905829,1.551453797,-0.28294315,0.817538966,0.883480608,-0.704524405,1.034090665,-0.496774156,0.824661325,-0.177946812,1.205660461,ENSA
1129,-0.177185545,1.838760816,0.766171834,3.164356096,-0.177185545,1.540913441,0.369184546,1.289148064,0.475272833,1.384893153,1.54705246,0.419978371,-0.061458342,1.304325084,0.674069493,1.324014545,-0.177185545,1.291168168,1.129840514,0.042100748,1.146533924,0.347341181,1.110246811,0.388513274,-0.318888014,0.963597709,1.691844115,0.443029864,-0.177185545,-0.177185545,0.719775016,-0.177185545,0.728504754,0.117312916,0.878325682,0.923476332,0.488419254,0.939512552,-0.177185545,1.405999311,-0.177185545,-0.046019233,ENY2
